id,url,scan_date,malicious,malware_family,source,confidence
1,http://service2326.org/home,2023-12-18,True,Locky,external_api,0.91
2,http://secure4366.net/secure,2024-12-03,False,,virustotal,0.22
3,http://update2652.org/reset,2026-05-07,False,,internal_scan,0.22
4,http://secure459.net/reset/8373,2025-08-23,False,,internal_scan,0.11
5,http://login4475.com/update/8161,2026-05-01,False,,external_api,0.45
6,http://secure8249.info/reset,2024-01-09,False,,external_api,0.15
7,http://portal441.info/secure,2025-09-08,False,,external_api,0.09
8,http://secure1144.com/update,2023-08-25,True,Locky,internal_scan,0.77
9,http://secure9069.org/download/4180,2026-01-08,False,,external_api,0.24
10,http://malicious3832.info/user/1215,2024-10-20,False,,internal_scan,0.05
11,http://login286.com/user/6553,2026-03-30,True,TrickBot,external_api,0.84
12,http://secure7440.net/secure/6242,2023-11-08,True,TrickBot,virustotal,0.75
13,http://service5451.com/login/9968,2024-11-07,False,,internal_scan,0.09
14,http://update5826.info/home,2024-10-06,False,,external_api,0.47
15,http://suspicious4740.com/update,2023-09-08,False,,virustotal,0.47
16,http://benign9832.net/home,2024-05-14,False,,external_api,0.36
17,http://malicious6680.net/home,2024-06-20,False,,external_api,0.56
18,http://service51.info/login/3038,2025-11-27,False,,internal_scan,0.2
19,http://secure3946.org/login,2025-04-08,False,,external_api,0.45
20,http://benign3964.com/secure,2026-01-04,False,,internal_scan,0.01
21,http://malicious9805.info/reset/784,2025-03-25,False,,virustotal,0.31
22,http://benign7854.net/secure/4891,2025-08-31,False,,virustotal,0.35
23,http://portal5550.net/home,2024-11-20,False,,virustotal,0.52
24,http://service7889.info/auth,2024-11-20,False,,virustotal,0.08
25,http://suspicious7829.com/auth,2025-08-08,False,,external_api,0.26
26,http://update2450.net/secure/3722,2025-01-28,False,,virustotal,0.26
27,http://benign9493.net/reset,2025-01-16,False,,internal_scan,0.35
28,http://update2561.net/user,2025-05-15,False,,internal_scan,0.01
29,http://service1589.com/update/7741,2026-04-13,False,,external_api,0.25
30,http://malicious4409.org/login,2025-04-12,False,,virustotal,0.46
31,http://benign7560.com/login/4906,2026-01-03,True,None,internal_scan,0.96
32,http://service9178.info/home/2665,2024-07-15,False,,virustotal,0.17
33,http://benign4043.org/download/9908,2024-05-24,False,,external_api,0.2
34,http://suspicious4423.net/user,2024-11-20,False,,external_api,0.53
35,http://secure1360.org/update,2026-04-03,False,,virustotal,0.23
36,http://login1938.info/home,2024-04-28,False,,virustotal,0.03
37,http://portal1175.info/update,2025-04-13,False,,virustotal,0.1
38,http://portal4910.org/auth/2192,2026-04-16,False,,external_api,0.18
39,http://benign3932.org/secure/8341,2023-09-10,True,Locky,external_api,0.84
40,http://accounts757.com/user,2024-08-14,False,,external_api,0.38
41,http://benign7842.org/update,2026-03-12,False,,external_api,0.59
42,http://login4849.org/reset/5603,2024-02-03,False,,internal_scan,0.33
43,http://service7867.net/reset,2025-10-15,False,,external_api,0.49
44,http://accounts1987.info/reset,2023-10-23,False,,external_api,0.11
45,http://malicious1600.info/user/6811,2024-02-10,False,,external_api,0.58
46,http://benign9916.net/home,2025-11-17,False,,external_api,0.11
47,http://login674.com/secure/7799,2024-02-12,False,,internal_scan,0.3
48,http://portal3735.net/auth/7991,2025-05-31,True,Emotet,external_api,0.97
49,http://accounts680.com/download,2025-02-25,False,,external_api,0.18
50,http://suspicious8156.info/reset,2026-03-11,False,,external_api,0.36
51,http://login6208.org/user,2026-02-14,True,TrickBot,internal_scan,0.77
52,http://update2554.net/login/5560,2025-07-08,False,,virustotal,0.25
53,http://accounts1017.com/user,2025-02-21,False,,external_api,0.21
54,http://secure6817.info/secure/6856,2023-08-26,False,,virustotal,0.11
55,http://update4010.info/update,2026-02-25,False,,internal_scan,0.15
56,http://malicious3785.org/home/8457,2024-09-11,False,,virustotal,0.11
57,http://accounts8149.info/auth,2025-02-15,False,,external_api,0.41
58,http://login5910.net/home/8174,2025-11-05,False,,virustotal,0.43
59,http://malicious950.net/user/7743,2023-12-20,False,,virustotal,0.26
60,http://suspicious8820.info/login/1118,2026-02-08,False,,virustotal,0.4
61,http://secure5000.info/download/1811,2024-10-26,True,None,external_api,0.58
62,http://malicious4153.org/user/5498,2025-01-22,False,,external_api,0.38
63,http://update5517.info/update,2024-11-06,False,,virustotal,0.28
64,http://malicious4228.com/download,2025-07-19,False,,virustotal,0.14
65,http://service6722.info/secure,2025-02-27,False,,internal_scan,0.46
66,http://malicious933.org/reset,2026-04-19,True,Emotet,virustotal,0.91
67,http://benign6129.net/download/239,2024-05-22,False,,internal_scan,0.58
68,http://suspicious9286.org/home,2024-10-24,False,,internal_scan,0.5
69,http://malicious1508.org/login,2024-07-15,False,,external_api,0.09
70,http://service3481.info/reset,2025-05-13,False,,virustotal,0.41
71,http://portal9879.com/update/8329,2025-08-21,False,,internal_scan,0.39
72,http://accounts4200.net/auth/8098,2023-09-02,False,,external_api,0.17
73,http://login3277.info/home/8917,2024-06-01,False,,virustotal,0.13
74,http://malicious3143.org/update,2024-07-21,False,,virustotal,0.51
75,http://malicious3535.info/user/2716,2024-02-18,False,,virustotal,0.23
76,http://suspicious866.com/auth/8606,2026-01-16,True,None,external_api,0.98
77,http://login3593.info/login,2024-04-19,False,,internal_scan,0.15
78,http://portal8213.com/user/3734,2024-04-09,False,,virustotal,0.22
79,http://malicious9538.net/home,2025-04-23,False,,virustotal,0.34
80,http://malicious7908.info/user/2896,2024-02-20,False,,internal_scan,0.07
81,http://accounts645.net/home,2025-08-15,False,,external_api,0.23
82,http://secure8679.info/home/7371,2024-10-30,True,Emotet,external_api,0.75
83,http://service1933.com/update/5880,2025-10-22,False,,external_api,0.56
84,http://service6391.net/reset/5813,2025-07-22,False,,internal_scan,0.06
85,http://accounts4988.org/update,2025-02-21,False,,virustotal,0.4
86,http://malicious8315.org/home,2026-01-08,False,,virustotal,0.06
87,http://accounts3205.info/download,2024-12-31,False,,internal_scan,0.39
88,http://portal6031.net/auth,2024-03-07,False,,external_api,0.17
89,http://secure2985.net/login,2026-02-25,False,,external_api,0.23
90,http://portal9005.net/user/1887,2024-08-05,True,TrickBot,virustotal,0.92
91,http://accounts6821.org/reset,2025-01-08,False,,internal_scan,0.29
92,http://secure4732.net/secure,2025-11-21,False,,internal_scan,0.06
93,http://portal2130.net/download,2024-02-06,False,,external_api,0.16
94,http://malicious446.info/reset,2025-03-13,True,TrickBot,virustotal,0.89
95,http://accounts4894.info/download,2024-11-07,False,,internal_scan,0.18
96,http://update7352.info/reset,2024-08-25,False,,virustotal,0.23
97,http://malicious4566.com/update,2025-09-13,False,,virustotal,0.32
98,http://update9494.net/user,2024-04-21,False,,internal_scan,0.46
99,http://suspicious882.org/login,2025-09-13,False,,virustotal,0.17
100,http://portal5324.info/update,2024-04-09,False,,virustotal,0.25
101,http://suspicious1755.com/auth,2026-04-21,False,,internal_scan,0.16
102,http://portal8056.com/login,2025-01-27,False,,internal_scan,0.19
103,http://update6292.info/download,2025-11-21,True,Unknown,external_api,0.65
104,http://accounts8574.net/reset/6688,2023-10-29,False,,internal_scan,0.45
105,http://portal851.info/login/9665,2023-12-17,False,,virustotal,0.01
106,http://login3531.info/reset/2731,2024-11-19,False,,external_api,0.3
107,http://service1769.org/secure,2024-02-01,False,,external_api,0.58
108,http://suspicious4468.com/download,2025-12-29,False,,external_api,0.12
109,http://login511.net/secure/8386,2023-10-23,False,,external_api,0.04
110,http://update3241.net/auth,2025-06-19,False,,internal_scan,0.3
111,http://portal9098.net/login,2024-07-27,False,,external_api,0.02
112,http://service4936.com/download,2025-10-05,True,Unknown,internal_scan,0.8
113,http://accounts9673.com/secure,2025-09-21,True,Unknown,external_api,0.73
114,http://portal503.info/user,2025-08-15,False,,virustotal,0.29
115,http://service1856.info/user,2025-01-08,False,,virustotal,0.03
116,http://suspicious6218.net/download/372,2023-12-01,False,,virustotal,0.35
117,http://secure4945.info/update,2026-03-20,False,,virustotal,0.14
118,http://malicious1769.info/secure/4665,2025-12-31,False,,external_api,0.31
119,http://malicious844.net/download,2026-01-05,False,,virustotal,0.32
120,http://login4102.net/update/2543,2024-05-25,False,,external_api,0.59
121,http://accounts1731.com/secure,2023-11-29,True,TrickBot,internal_scan,0.98
122,http://benign8348.org/user,2024-11-26,False,,internal_scan,0.12
123,http://suspicious3797.info/home,2024-10-01,False,,external_api,0.12
124,http://malicious9605.com/auth,2024-10-11,False,,internal_scan,0.43
125,http://update5348.net/update/2423,2024-10-17,True,None,external_api,0.58
126,http://login4202.info/home,2023-11-16,False,,internal_scan,0.52
127,http://accounts1717.net/home/6955,2025-02-25,False,,virustotal,0.24
128,http://malicious2738.org/reset,2023-08-28,False,,virustotal,0.44
